BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point,total_diff
M1290,ERS,FDR DR & E 107 ST,10029.0,Manhattan,MN11,8.0,40.78951095,-73.93750187,POINT (-73.93750187 40.78951095),6685.189505358884
B2211,ERS,HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE,11212.0,Brooklyn,BK16,42.0,40.65593507,-73.91004188,POINT (-73.91004188 40.65593507),6288.653174428913
Q3737,BARS,15 RD & 208 ST,11360.0,Queens,QN07,19.0,40.78499848,-73.78562776,POINT (-73.78562776 40.78499848),11229.336369026918
R4761,BARS,LORETTO LA & WATERFRONT,10309.0,Staten Island,SI03,51.0,40.50402832,-74.21812604,POINT (-74.21812604 40.50402832),25531.17995065373
B1586,ERS,CLARKSON AVE & E 40 ST,11203.0,Brooklyn,BK09,41.0,40.65600154,-73.94053215,POINT (-73.94053215 40.65600154),6054.725326623797
R1947,ERS,RICHMOND AVE & DEPPE PL,10314.0,Staten Island,SI01,49.0,40.61792217,-74.15577784,POINT (-74.15577784 40.61792217),16886.937630345845
B1978,ERS,DUMONT AVE & EMERALD ST,11208.0,Brooklyn,BK05,42.0,40.67138053,-73.85947417,POINT (-73.85947417 40.67138053),7280.497620463466
B2573,ERS,14 AVE & 39 ST,11218.0,Brooklyn,BK12,39.0,40.63929771,-73.98408782,POINT (-73.98408782 40.63929771),7806.5685689150605
Q5578,BARS,93 RD & 224 ST,11428.0,Queens,QN13,23.0,40.72291868,-73.73149717,POINT (-73.73149717 40.72291868),12583.857609119867
Q3867,BARS,EAST HAMPTON BLVD & HARDING XWAY N,11364.0,Queens,QN11,23.0,40.75218624,-73.74718849,POINT (-73.74718849 40.75218624),12234.91700102707
Q9532,ERS,WOODHAVEN BLVD & 68 AVE,11379.0,Queens,QN05,29.0,40.71548717,-73.86062663,POINT (-73.86062663 40.71548717),6921.715585525005
M1275,ERS,2 AVE & E 101 ST,10029.0,Manhattan,MN11,8.0,40.787442,-73.9447695,POINT (-73.9447695 40.787442),6695.567154710081
B1662,ERS,BLAKE AVE & CHESTER ST,11212.0,Brooklyn,BK16,41.0,40.66548902,-73.91062465,POINT (-73.91062465 40.66548902),5970.272450144785
Q6427,BARS,HARDING XWAY N & OVERBROOK ST,11362.0,Queens,QN11,19.0,40.75924987,-73.73611089,POINT (-73.73611089 40.75924987),12928.106047653928
R2012,BARS,RICHMOND RD & HUNTER AVE,10306.0,Staten Island,SI02,50.0,40.58368564,-74.10790852,POINT (-74.10790852 40.58368564),16073.813098159148
Q3281,BARS,ASTORIA BLVD N & 76 ST,11370.0,Queens,QN01,22.0,40.76678469,-73.89309377,POINT (-73.89309377 40.76678469),6736.714314076923
Q5101,ERS,MYRTLE AVE & 73 ST,11385.0,Queens,QN05,30.0,40.70229404,-73.87639785,POINT (-73.87639785 40.70229404),6325.066828194435
B0793,ERS,LEXINGTON AVE & MALCOLM X BLVD\REID AVE,11221.0,Brooklyn,BK03,36.0,40.68997797,-73.93036357,POINT (-73.93036357 40.68997797),5262.47992888168
Q7427,BARS,34 AVE & 28 ST,11106.0,Queens,QN01,26.0,40.76079776,-73.92965062,POINT (-73.92965062 40.76079776),5949.520003804959
M1230,ERS,FDR DR & E 97 ST,10029.0,Manhattan,MN11,8.0,40.78363246,-73.94351861,POINT (-73.94351861 40.78363246),6575.397422214715
Q2213,ERS,S/S QUEENS BLVD & 58 ST,11377.0,Queens,QN02,26.0,40.74163074,-73.90770322,POINT (-73.90770322 40.74163074),5870.255243282205
R1525,BARS,VICTORY BLVD & MOUNTAINVIEW AVE,10314.0,Staten Island,SI01,50.0,40.61276831,-74.12687085,POINT (-74.12687085 40.61276831),15682.574603222654
Q5121,ERS,CENTRAL AVE & 69 PL,11385.0,Queens,QN05,30.0,40.70420133,-73.88287364,POINT (-73.88287364 40.70420133),6128.918046240983
Q9839,ERS,97 AVE & SUTPHIN BLVD,11435.0,Queens,QN12,28.0,40.6972619,-73.80573926,POINT (-73.80573926 40.6972619),8981.193936236547
Q4074,ERS,FLUSHING AVE & ONDERDONK AVE,11385.0,Queens,QN05,34.0,40.7114561,-73.91985955,POINT (-73.91985955 40.7114561),5319.420289469928
Q5768,ERS,129 AVE & 236 ST,11422.0,Queens,QN13,31.0,40.68043734,-73.73117919,POINT (-73.73117919 40.68043734),12657.317535092332
B3604,ERS,OCEANVIEW AVE & BRIGHTON 2 ST,11235.0,Brooklyn,BK13,48.0,40.57880751,-73.96581492,POINT (-73.96581492 40.57880751),9871.19667763669
M1407,ERS,5 AVE & E 118 ST,10026.0,Manhattan,MN10,9.0,40.80197023,-73.94550864,POINT (-73.94550864 40.80197023),7109.406699430709
Q4818,ERS,JAMAICA AVE & SUTPHIN BLVD,11435.0,Queens,QN12,27.0,40.70176553,-73.80792715,POINT (-73.80792715 40.70176553),8880.564206962943
B1232,ERS,FLATBUSH AVE & PARK PL,11217.0,Brooklyn,BK08,35.0,40.67752281,-73.97271615,POINT (-73.97271615 40.67752281),6184.139761576294
Q4514,ERS,22 AVE & 126 ST,11356.0,Queens,QN07,19.0,40.78015379,-73.84239892,POINT (-73.84239892 40.78015379),8766.26972760823
B1729,ERS,GLENMORE AVE & SHEFFIELD AVE,11207.0,Brooklyn,BK05,37.0,40.67301661,-73.89716712,POINT (-73.89716712 40.67301661),6084.018108131314
Q6218,BARS,150 ST & 20 RD,11357.0,Queens,QN07,19.0,40.78058083,-73.81429898,POINT (-73.81429898 40.78058083),9874.766299477309
Q7671,BARS,ASTORIA BLVD & 81 ST,11370.0,Queens,QN03,22.0,40.76517834,-73.88806563,POINT (-73.88806563 40.76517834),6830.793858678245
X2875,ERS,NOBLE AVE & GLEASON AVE,10472.0,Bronx,BX09,18.0,40.82942885,-73.86968144,POINT (-73.86968144 40.82942885),9451.634130275907
B0482,ERS,FURMAN ST & MONTAGUE ST,11201.0,Brooklyn,BK02,33.0,40.69599978,-73.99824027,POINT (-73.99824027 40.69599978),6928.960216738693
Q2105,ERS,101 AVE & 84 ST,11416.0,Queens,QN09,32.0,40.68160698,-73.85535333,POINT (-73.85535333 40.68160698),7216.242040179065
Q9617,ERS,86 AVE & 105 ST,11418.0,Queens,QN09,32.0,40.69724833,-73.84300917,POINT (-73.84300917 40.69724833),7505.666499602579
R1016,ERS,TARGEE ST & STEUBEN ST,10304.0,Staten Island,SI01,49.0,40.61072604,-74.08634215,POINT (-74.08634215 40.61072604),13791.812077392527
B3828,ERS,DWIGHT ST & COFFEY ST,11231.0,Brooklyn,BK06,38.0,40.67422277,-74.01118011,POINT (-74.01118011 40.67422277),7832.720996518004
B1611,ERS,E NEW YORK AVE & ST MARKS AVE,11212.0,Brooklyn,BK16,41.0,40.672948,-73.90925438,POINT (-73.90925438 40.672948),5800.390677634005
X3822,ERS,SETON AVE & E 233 ST,10466.0,Bronx,BX12,12.0,40.88893566,-73.83643359,POINT (-73.83643359 40.88893566),13540.741491324856
Q1326,ERS,ROCKAWAY BEACH BLVD & BEACH 84 ST,11693.0,Queens,QN14,31.0,40.58774216,-73.80986542,POINT (-73.80986542 40.58774216),12518.020388237503
B0180,BARS,METROPOLITAN AVE & STEWART AVE,11237.0,Brooklyn,BK01,34.0,40.71420824,-73.92816525,POINT (-73.92816525 40.71420824),5269.18403184959
X3969,ERS,ONEIDA AVE & E 236 ST,10470.0,Bronx,BX12,11.0,40.89769435,-73.87269698,POINT (-73.87269698 40.89769435),12680.185734662198
Q5394,BARS,QUENCER RD & NEWBURGH ST,11412.0,Queens,QN12,27.0,40.69563063,-73.76458044,POINT (-73.76458044 40.69563063),10849.614721536438
X3837,ERS,EDENWALD AVE & WILDER AVE,10466.0,Bronx,BX12,12.0,40.89328577,-73.8419206,POINT (-73.8419206 40.89328577),13552.165880792149
Q5061,BARS,FOCH BLVD & MERRICK BLVD,11434.0,Queens,QN12,27.0,40.68701659,-73.77486249,POINT (-73.77486249 40.68701659),10443.993828324796
X2883,ERS,SEABURY AVE & HERSHELL ST,10461.0,Bronx,BX10,13.0,40.83615871,-73.84246873,POINT (-73.84246873 40.83615871),10731.580657801216
B4018,ERS,FLATLANDS AVE & FOUNTAIN AVE,11208.0,Brooklyn,BK05,42.0,40.66045225,-73.8671807,POINT (-73.8671807 40.66045225),7328.908884729379
X3667,ERS,PRATT AVE & MAROLLA PLACE,10466.0,Bronx,BX12,12.0,40.88469455,-73.83591285,POINT (-73.83591285 40.88469455),13347.605375657302
B2107,ERS,NEW LOTS AVE & HINSDALE ST,11207.0,Brooklyn,BK05,42.0,40.65983319,-73.89759944,POINT (-73.89759944 40.65983319),6449.231267569022
B1446,ERS,4 AVE & 32 ST,11232.0,Brooklyn,BK07,38.0,40.65654952,-74.00209359,POINT (-74.00209359 40.65654952),7921.5915201636635
R1192,BARS,WESTERN AVE & RAILROAD CROSSING,10303.0,Staten Island,SI01,49.0,40.63448668,-74.18184158,POINT (-74.18184158 40.63448668),17490.432948847432
R1429,BARS,XENIA ST & HURLBERT ST,10305.0,Staten Island,SI02,50.0,40.59215182,-74.08446979,POINT (-74.08446979 40.59215182),14530.3237758425
R4689,ERS,PURDY PL & HOLTON AVE,10309.0,Staten Island,SI03,51.0,40.51273272,-74.19368776,POINT (-74.19368776 40.51273272),23866.88505842095
B1423,ERS,3 AVE & 29 ST,11232.0,Brooklyn,BK07,38.0,40.65954746,-74.00262349,POINT (-74.00262349 40.65954746),7846.5834615002
B2895,ERS,CROPSEY AVE & 20 AVE,11214.0,Brooklyn,BK11,43.0,40.60020309,-74.00281297,POINT (-74.00281297 40.60020309),10267.374309278748
B2934,ERS,AVE I & EAST 15 ST,11230.0,Brooklyn,BK14,44.0,40.62757082,-73.96184657,POINT (-73.96184657 40.62757082),7563.6161392527265
Q7072,ERS,GRAND AVE & E/S OF NY CONN RAILROAD,11373.0,Queens,QN04,25.0,40.73049188,-73.88624327,POINT (-73.88624327 40.73049188),6258.601144072908
R3768,ERS,CODY PL & CROCKER CT,10312.0,Staten Island,SI03,51.0,40.55520322,-74.20190242,POINT (-74.20190242 40.55520322),22148.153862417206
Q0082,BARS,SHEA STADIUM 700' W OF 126 ST & 38 AVE,11368.0,Queens,,21.0,40.75623317,-73.84642544,POINT (-73.84642544 40.75623317),8014.478505262644
M0145,ERS,BROADWAY & THOMAS ST,10013.0,Manhattan,MN01,1.0,40.71575994,-74.00497613,POINT (-74.00497613 40.71575994),7293.982477250715
M1417,ERS,MORNINGSIDE AVE & W 119 ST,10026.0,Manhattan,MN10,9.0,40.80754571,-73.95680544,POINT (-73.95680544 40.80754571),7495.379665104875
M1782,ERS,AMSTERDAM AVE S OF FORT GEORGE AVE,10040.0,Manhattan,MN12,10.0,40.85501103,-73.926036,POINT (-73.926036 40.85501103),9333.798530062124
R0428,BARS,VANDERBILT AVE & BAY ST,10304.0,Staten Island,SI01,49.0,40.62246402,-74.07253552,POINT (-74.07253552 40.62246402),12619.361341080654
M0428,ERS,AVENUE B & E 4 ST,10009.0,Manhattan,MN03,2.0,40.72327798,-73.9825245,POINT (-73.9825245 40.72327798),6410.660840596337
R0229,BARS,VICTORY BLVD & BAY ST,10301.0,Staten Island,SI01,49.0,40.6377481,-74.07601777,POINT (-74.07601777 40.6377481),12151.852994625744
B0919,ERS,SCHENECTADY AVE & PARK PL,11213.0,Brooklyn,BK08,36.0,40.6725145,-73.93355357,POINT (-73.93355357 40.6725145),5545.8034514158635
M1323,ERS,BROADWAY & W 108 ST,10025.0,Manhattan,MN07,6.0,40.80292725,-73.96757497,POINT (-73.96757497 40.80292725),7651.464113253037
Q4430,ERS,45 AVE & 160 ST,11358.0,Queens,QN07,20.0,40.7565452,-73.80639406,POINT (-73.80639406 40.7565452),9595.991401238294
M1798,ERS,10 AVE & W 202 ST,10034.0,Manhattan,MN12,10.0,40.86131167,-73.921232,POINT (-73.921232 40.86131167),9683.306763037233
R0563,ERS,UTTER AVE & MANOR RD,10314.0,Staten Island,SI01,50.0,40.61805942,-74.12362161,POINT (-74.12362161 40.61805942),15294.250935122853
R2413,BARS,COMBS AVE 250' N OF CLARKE AVE/RVFD,10306.0,Staten Island,SI03,50.0,40.56593022,-74.13205095,POINT (-74.13205095 40.56593022),18131.62687385632
B3013,ERS,AVENUE M & E 17 ST,11230.0,Brooklyn,BK14,44.0,40.61821719,-73.95814639,POINT (-73.95814639 40.61821719),7862.835594780601
R1983,ERS,WYONA AVE & HAWTHORNE AVE,10314.0,Staten Island,SI01,50.0,40.61022205,-74.1489379,POINT (-74.1489379 40.61022205),16882.04586457017
B0143,ERS,MANHATTAN AVE & FROST ST,11211.0,Brooklyn,BK01,34.0,40.71790704,-73.94665225,POINT (-73.94665225 40.71790704),5367.735262004872
B2992,ERS,AVE M & EAST 15 ST,11230.0,Brooklyn,BK14,48.0,40.61801126,-73.96004232,POINT (-73.96004232 40.61801126),7920.930038865309
Q9336,BARS,37 AVE & 111 ST,11368.0,Queens,QN03,21.0,40.75414368,-73.85715508,POINT (-73.85715508 40.75414368),7578.637356599427
M0089,ERS,PEARL ST & BEEKMAN ST,10038.0,Manhattan,MN01,1.0,40.70808367,-74.00340211,POINT (-74.00340211 40.70808367),7168.747860359064
B2587,ERS,11 AVE & 48 ST,11219.0,Brooklyn,BK12,44.0,40.63824637,-73.99594166,POINT (-73.99594166 40.63824637),8332.82602111071
Q1314,ERS,ROCKAWAY BEACH BLVD & BEACH 75 ST,11692.0,Queens,QN14,32.0,40.58866769,-73.80274869,POINT (-73.80274869 40.58866769),12774.818392561894
X3778,ERS,FIELDSTON RD & W 245 ST,10471.0,Bronx,BX08,11.0,40.89171407,-73.90558681,POINT (-73.90558681 40.89171407),11467.601343717715
Q4123,ERS,68 RD & 60 ST,11385.0,Queens,QN05,30.0,40.70347577,-73.89981967,POINT (-73.89981967 40.70347577),5672.439881862957
B2616,ERS,68 ST & 7 AVE E/S OF VZ BRIDGE APP,11220.0,Brooklyn,BK10,43.0,40.63178263,-74.01582528,POINT (-74.01582528 40.63178263),9515.232655832258
B1709,ERS,LIBERTY AVE & SNEDIKER AVE,11207.0,Brooklyn,BK05,37.0,40.67357377,-73.90207722,POINT (-73.90207722 40.67357377),5949.247578570341
Q7019,ERS,SW CORNER 73 ST & 57 AVE,11378.0,Queens,QN05,30.0,40.72843098,-73.88858241,POINT (-73.88858241 40.72843098),6167.14870347705
Q1422,BARS,CRONSTON AVE & BEACH 135 ST,11694.0,Queens,QN14,32.0,40.57803909,-73.85511219,POINT (-73.85511219 40.57803909),11237.409837382867
B2453,ERS,FOSTER AVE & E 21 ST,11226.0,Brooklyn,BK14,40.0,40.63679269,-73.95743328,POINT (-73.95743328 40.63679269),7066.438488354781
Q2305,ERS,N/B CI PWAY AT 150 ST,11357.0,Queens,QN07,19.0,40.78726003,-73.81286381,POINT (-73.81286381 40.78726003),10115.192070725963
Q7402,BARS,32 AVE & 51 ST,11377.0,Queens,QN01,26.0,40.75529168,-73.90846545,POINT (-73.90846545 40.75529168),6093.064006090021
X4030,ERS,BRUSH AVE & ROHR PL,10465.0,Bronx,BX10,13.0,40.82178334,-73.8378736,POINT (-73.8378736 40.82178334),10263.568583458682
R1031,BARS,ELBE AVE & SABLE AVE,10304.0,Staten Island,SI02,50.0,40.60604576,-74.08434222,POINT (-74.08434222 40.60604576),13899.7624987429
Q7171,BARS,41 AVE & 21 ST,11101.0,Queens,QN01,26.0,40.75399761,-73.94243021,POINT (-73.94243021 40.75399761),5821.171451105571
Q5256,BARS,HILLSIDE AVE & 187 ST,11423.0,Queens,QN08,24.0,40.71469631,-73.77529928,POINT (-73.77529928 40.71469631),10390.912792505125
R3814,BARS,NELSON AVE & BELDEN ST,10308.0,Staten Island,SI03,51.0,40.5474525,-74.14995202,POINT (-74.14995202 40.5474525),19940.509222102195
Q6615,BARS,CROYDEN RD & MAYFIELD RD,11432.0,Queens,QN08,24.0,40.71699938,-73.78961771,POINT (-73.78961771 40.71699938),9753.15837663016
Q4485,ERS,SANFORD AVE & 149 ST,11355.0,Queens,QN07,20.0,40.76037161,-73.81508733,POINT (-73.81508733 40.76037161),9321.667633283627
B1905,ERS,LINDEN BLVD & WILLIAMS AVE,11207.0,Brooklyn,BK05,42.0,40.65774692,-73.89610851,POINT (-73.89610851 40.65774692),6555.691421582235
Q4918,ERS,JEWEL AVE/VAN ARSDALE AVE & 136 ST,11367.0,Queens,QN08,24.0,40.72834297,-73.82954332,POINT (-73.82954332 40.72834297),8212.81962177973
B3884,ERS,BATH AVE & BAY 37 ST,11214.0,Brooklyn,BK11,47.0,40.59521085,-73.99238931,POINT (-73.99238931 40.59521085),10027.947892598871
Q7528,BARS,HOYT AVE N & 24 ST,11102.0,Queens,QN01,22.0,40.77393148,-73.92165606,POINT (-73.92165606 40.77393148),6342.265652865673
Q6806,BARS,109 AVE & 227 ST,11429.0,Queens,QN13,27.0,40.7066598,-73.72964716,POINT (-73.72964716 40.7066598),12551.569172945827
B2540,ERS,17 AVE & 46 ST,11204.0,Brooklyn,BK12,44.0,40.63123292,-73.98130754,POINT (-73.98130754 40.63123292),8030.276908221098
Q3106,ERS,QUEENS BLVD & 64 RD,11374.0,Queens,QN06,29.0,40.72915082,-73.8604723,POINT (-73.8604723 40.72915082),7071.857365159877
M1584,ERS,HAMILTON PL & W 139 ST,10031.0,Manhattan,MN09,7.0,40.8221734,-73.95210583,POINT (-73.95210583 40.8221734),7964.706978001438
R4392,ERS,AMBOY RD 75' E OF SHARROTT AVE,10309.0,Staten Island,SI03,51.0,40.52402543,-74.21401058,POINT (-74.21401058 40.52402543),24320.420918691827
Q3206,ERS,66 RD & YELLOWSTONE BLVD,11375.0,Queens,QN06,29.0,40.72915439,-73.84944778,POINT (-73.84944778 40.72915439),7472.152302790176
Q7989,BARS,43 AVE OPP 95 ST,11373.0,Queens,QN04,25.0,40.74524191,-73.869288,POINT (-73.869288 40.74524191),6997.485707360891
Q7339,ERS,78 AVE & 88 ST,11385.0,Queens,QN05,30.0,40.70589893,-73.86108261,POINT (-73.86108261 40.70589893),6845.705649219492
R0224,ERS,CEBRA AVE & VICTORY BLVD,10301.0,Staten Island,SI01,49.0,40.63395556,-74.08574929,POINT (-74.08574929 40.63395556),12775.262205371004
Q5755,ERS,131 AVE & 218 ST,11413.0,Queens,QN13,31.0,40.6831333,-73.74935675,POINT (-73.74935675 40.6831333),11713.081225706106
M1014,ERS,MADISON AVE & E 69 ST,10021.0,Manhattan,MN08,4.0,40.76984667,-73.9668471,POINT (-73.9668471 40.76984667),6725.897935791457
X2609,ERS,BRUCKNER BLVD N/B & THERIOT AVE,10473.0,Bronx,BX09,18.0,40.82510524,-73.86295905,POINT (-73.86295905 40.82510524),9488.11056677535
Q6451,BARS,60 AVE & HEWLETT ST,11362.0,Queens,QN11,23.0,40.7614709,-73.71691484,POINT (-73.71691484 40.7614709),13940.029579670421
R3695,BARS,RICHMOND AVE & ARTHUR KILL RD,10312.0,Staten Island,SI03,51.0,40.561078,-74.16982656,POINT (-74.16982656 40.561078),20244.883955896476
M1378,ERS,LEXINGTON AVE & E 115 ST,10029.0,Manhattan,MN11,8.0,40.7979438,-73.94212011,POINT (-73.94212011 40.7979438),6952.921341655179
B2023,ERS,GLENMORE AVE & WYONA ST,11207.0,Brooklyn,BK05,37.0,40.67358165,-73.89335128,POINT (-73.89335128 40.67358165),6169.541283460975
M0482,ERS,STUYVESANT TWN SVC RD 1 AVE & E 16 ST,10009.0,Manhattan,MN06,2.0,40.73264377,-73.981562,POINT (-73.981562 40.73264377),6493.511132088782
B2379,ERS,PRESTON CT BTW E 56 ST & RALPH AVE,11234.0,Brooklyn,BK18,45.0,40.63999206,-73.92149332,POINT (-73.92149332 40.63999206),6714.627174929909
R1583,ERS,SLOSSON AVE & MOTLEY AVE,10314.0,Staten Island,SI02,50.0,40.60801798,-74.11606167,POINT (-74.11606167 40.60801798),15359.090934369791
B2816,ERS,16 AVE & 77 ST,11214.0,Brooklyn,BK11,43.0,40.61515271,-74.00203158,POINT (-74.00203158 40.61515271),9576.373574445379
