BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point,total_diff
X4762,ERS,W/S PARK AVE & E 186 ST,10458.0,Bronx,BX06,15.0,40.85790201,-73.89341592,POINT (-73.89341592 40.85790201),47185.57819127251
B2691,ERS,12 AVE & 59 ST,11219.0,Brooklyn,BK12,44.0,40.63075638,-74.00014289,POINT (-74.00014289 40.63075638),42033.506688297384
Q7296,BARS,50 AVE & 47 ST,11377.0,Queens,QN02,26.0,40.73735689,-73.91890954,POINT (-73.91890954 40.73735689),27824.697516542597
M0107,ERS,WEST ST BTW MURRAY ST & WARREN ST,10007.0,Manhattan,MN01,1.0,40.71579721,-74.01291703,POINT (-74.01291703 40.71579721),37179.854739834285
Q7838,BARS,ROOSEVELT AVE & 88 ST,11372.0,Queens,QN04,21.0,40.74822266,-73.87834313,POINT (-73.87834313 40.74822266),31283.62977176962
Q3804,BARS,50 AVE & 210 ST,11364.0,Queens,QN11,23.0,40.75281186,-73.77003288,POINT (-73.77003288 40.75281186),48848.44498456439
B1571,ERS,NOSTRAND AVE & LINDEN BLVD,11226.0,Brooklyn,BK17,40.0,40.65264232,-73.94976875,POINT (-73.94976875 40.65264232),31523.310118987232
B1936,ERS,STANLEY AVE & BERRIMAN ST,11208.0,Brooklyn,BK05,42.0,40.66329419,-73.87475187,POINT (-73.87475187 40.66329419),31915.78612037026
Q4014,ERS,CYPRESS AVE OPP 78 AVE,11385.0,Queens,QN05,30.0,40.69515789,-73.89861514,POINT (-73.89861514 40.69515789),27305.03473540905
Q4235,ERS,JUNIPER VALLEY RD & 75 ST,11379.0,Queens,QN05,30.0,40.71548225,-73.87929945,POINT (-73.87929945 40.71548225),29018.408787128177
B1240,ERS,4 AVE & ST MARKS PL,11217.0,Brooklyn,BK06,33.0,40.68185263,-73.9800351,POINT (-73.9800351 40.68185263),31950.04044194688
R0712,BARS,JEWETT AVE & EGBERT AVE,10302.0,Staten Island,SI01,49.0,40.62454541,-74.13191628,POINT (-74.13191628 40.62454541),70317.95044993007
B3934,ERS,HERKIMER ST & JARDINE PL,11233.0,Brooklyn,BK16,37.0,40.6772081,-73.90513693,POINT (-73.90513693 40.6772081),27924.478473628278
Q6253,ERS,5 AVE & 149 ST,11357.0,Queens,QN07,19.0,40.79564319,-73.81900063,POINT (-73.81900063 40.79564319),45490.94566871281
R0741,ERS,FOREST AVE & LIVERMORE AVE,10302.0,Staten Island,SI01,49.0,40.6242952,-74.13722714,POINT (-74.13722714 40.6242952),71527.26424517822
Q9445,ERS,UNION TPK & 141 ST,11367.0,Queens,QN08,24.0,40.7172806,-73.81932997,POINT (-73.81932997 40.7172806),37298.4885423657
B3661,ERS,GOTHAM AVE & SHELL BANK CREEK,11229.0,Brooklyn,BK15,46.0,40.58904772,-73.92842812,POINT (-73.92842812 40.58904772),42213.30155675019
Q4742,BARS,24 AVE & 201 ST,11357.0,Queens,QN07,19.0,40.77589957,-73.79089093,POINT (-73.79089093 40.77589957),47629.19267539319
M1221,ERS,1 AVE & E 94 ST,10128.0,Manhattan,MN08,5.0,40.78194718,-73.94566982,POINT (-73.94566982 40.78194718),33674.867071990404
R2798,BARS,RICHMOND AVE & ROCKLAND AVE,10314.0,Staten Island,SI02,51.0,40.59529877,-74.16189941,POINT (-74.16189941 40.59529877),82666.67293200616
M1504,ERS,5 AVE & E 128 ST,10027.0,Manhattan,MN10,9.0,40.80833427,-73.94086063,POINT (-73.94086063 40.80833427),37148.690753845396
B1843,ERS,GLENMORE AVE & PINE ST,11208.0,Brooklyn,BK05,42.0,40.67680551,-73.87130777,POINT (-73.87130777 40.67680551),30889.543158631204
Q7934,BARS,45 AVE & 81 ST,11373.0,Queens,QN04,25.0,40.74150481,-73.88387597,POINT (-73.88387597 40.74150481),30130.12199737174
B1759,ERS,SUNNYSIDE AVE & BARBEY ST,11207.0,Brooklyn,BK05,37.0,40.68248486,-73.89028339,POINT (-73.89028339 40.68248486),28521.49824786087
M1521,ERS,5 AVE & E 130 ST,10027.0,Manhattan,MN10,9.0,40.80958142,-73.93994876,POINT (-73.93994876 40.80958142),37294.06845151813
B3283,ERS,VOORHIES AVE & E 26 ST,11235.0,Brooklyn,BK15,48.0,40.58689038,-73.94318574,POINT (-73.94318574 40.58689038),43252.076288328135
Q9149,ERS,68 RD & 108 ST,11375.0,Queens,QN06,29.0,40.72629449,-73.84618699,POINT (-73.84618699 40.72629449),33702.6283154364
Q9779,BARS,67 AVE & 214 ST,11364.0,Queens,QN11,23.0,40.74341137,-73.76158679,POINT (-73.76158679 40.74341137),49666.73949633073
B0972,ERS,ATLANTIC AVE & CLASSON AVE,11238.0,Brooklyn,BK02,35.0,40.67983113,-73.95829217,POINT (-73.95829217 40.67983113),29260.693859537183
Q6350,BARS,MANOR RD & DOUGLAS RD,11363.0,Queens,QN11,19.0,40.77719081,-73.74605457,POINT (-73.74605457 40.77719081),56839.691282868065
Q8999,BARS,VAN WYCK XWAY W SVC RD & 105 AVE,11419.0,Queens,QN10,28.0,40.69057272,-73.81037271,POINT (-73.81037271 40.69057272),38815.48942228696
Q0034,BARS,LGA - PARKING GARAGE E/END ARRIVAL BLD,11371.0,Queens,LGA,21.0,40.77278489,-73.87158358,POINT (-73.87158358 40.77278489),34938.42346295549
Q6922,BARS,CROCHERON AVE & 170 ST,11358.0,Queens,QN07,19.0,40.7627955,-73.79610662,POINT (-73.79610662 40.7627955),44986.42820781075
M1778,ERS,ST NICHOLAS AVE OPP W 193 ST,10040.0,Manhattan,MN12,10.0,40.85680813,-73.92826618,POINT (-73.92826618 40.85680813),45856.13433345392
M1290,ERS,FDR DR & E 107 ST,10029.0,Manhattan,MN11,8.0,40.78951095,-73.93750187,POINT (-73.93750187 40.78951095),34237.539778447994
B2211,ERS,HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE,11212.0,Brooklyn,BK16,42.0,40.65593507,-73.91004188,POINT (-73.91004188 40.65593507),30120.958353924732
Q3737,BARS,15 RD & 208 ST,11360.0,Queens,QN07,19.0,40.78499848,-73.78562776,POINT (-73.78562776 40.78499848),49862.5095087563
R4761,BARS,LORETTO LA & WATERFRONT,10309.0,Staten Island,SI03,51.0,40.50402832,-74.21812604,POINT (-74.21812604 40.50402832),115544.62321213637
B1586,ERS,CLARKSON AVE & E 40 ST,11203.0,Brooklyn,BK09,41.0,40.65600154,-73.94053215,POINT (-73.94053215 40.65600154),30397.169644829555
R1947,ERS,RICHMOND AVE & DEPPE PL,10314.0,Staten Island,SI01,49.0,40.61792217,-74.15577784,POINT (-74.15577784 40.61792217),76824.35947262267
B1978,ERS,DUMONT AVE & EMERALD ST,11208.0,Brooklyn,BK05,42.0,40.67138053,-73.85947417,POINT (-73.85947417 40.67138053),32862.725969690735
B2573,ERS,14 AVE & 39 ST,11218.0,Brooklyn,BK12,39.0,40.63929771,-73.98408782,POINT (-73.98408782 40.63929771),37820.683090414466
Q5578,BARS,93 RD & 224 ST,11428.0,Queens,QN13,23.0,40.72291868,-73.73149717,POINT (-73.73149717 40.72291868),54690.55379511653
Q3867,BARS,EAST HAMPTON BLVD & HARDING XWAY N,11364.0,Queens,QN11,23.0,40.75218624,-73.74718849,POINT (-73.74718849 40.75218624),53507.30896143885
Q9532,ERS,WOODHAVEN BLVD & 68 AVE,11379.0,Queens,QN05,29.0,40.71548717,-73.86062663,POINT (-73.86062663 40.71548717),31224.752901231153
M1275,ERS,2 AVE & E 101 ST,10029.0,Manhattan,MN11,8.0,40.787442,-73.9447695,POINT (-73.9447695 40.787442),34367.47075185448
B1662,ERS,BLAKE AVE & CHESTER ST,11212.0,Brooklyn,BK16,41.0,40.66548902,-73.91062465,POINT (-73.91062465 40.66548902),28878.546806332528
Q6427,BARS,HARDING XWAY N & OVERBROOK ST,11362.0,Queens,QN11,19.0,40.75924987,-73.73611089,POINT (-73.73611089 40.75924987),56697.11305626674
R2012,BARS,RICHMOND RD & HUNTER AVE,10306.0,Staten Island,SI02,50.0,40.58368564,-74.10790852,POINT (-74.10790852 40.58368564),73397.4595589533
Q3281,BARS,ASTORIA BLVD N & 76 ST,11370.0,Queens,QN01,22.0,40.76678469,-73.89309377,POINT (-73.89309377 40.76678469),32031.142891269777
Q5101,ERS,MYRTLE AVE & 73 ST,11385.0,Queens,QN05,30.0,40.70229404,-73.87639785,POINT (-73.87639785 40.70229404),29134.62106570208
B0793,ERS,LEXINGTON AVE & MALCOLM X BLVD\REID AVE,11221.0,Brooklyn,BK03,36.0,40.68997797,-73.93036357,POINT (-73.93036357 40.68997797),26810.011362843677
Q7427,BARS,34 AVE & 28 ST,11106.0,Queens,QN01,26.0,40.76079776,-73.92965062,POINT (-73.92965062 40.76079776),30189.51645622857
M1230,ERS,FDR DR & E 97 ST,10029.0,Manhattan,MN11,8.0,40.78363246,-73.94351861,POINT (-73.94351861 40.78363246),33755.8243791876
Q2213,ERS,S/S QUEENS BLVD & 58 ST,11377.0,Queens,QN02,26.0,40.74163074,-73.90770322,POINT (-73.90770322 40.74163074),28447.005443364178
R1525,BARS,VICTORY BLVD & MOUNTAINVIEW AVE,10314.0,Staten Island,SI01,50.0,40.61276831,-74.12687085,POINT (-74.12687085 40.61276831),71476.5714531774
Q5121,ERS,CENTRAL AVE & 69 PL,11385.0,Queens,QN05,30.0,40.70420133,-73.88287364,POINT (-73.88287364 40.70420133),28445.389976193732
Q9839,ERS,97 AVE & SUTPHIN BLVD,11435.0,Queens,QN12,28.0,40.6972619,-73.80573926,POINT (-73.80573926 40.6972619),39387.31576973317
Q4074,ERS,FLUSHING AVE & ONDERDONK AVE,11385.0,Queens,QN05,34.0,40.7114561,-73.91985955,POINT (-73.91985955 40.7114561),26445.93385205404
Q5768,ERS,129 AVE & 236 ST,11422.0,Queens,QN13,31.0,40.68043734,-73.73117919,POINT (-73.73117919 40.68043734),55159.511107388236
B3604,ERS,OCEANVIEW AVE & BRIGHTON 2 ST,11235.0,Brooklyn,BK13,48.0,40.57880751,-73.96581492,POINT (-73.96581492 40.57880751),47231.54413713989
M1407,ERS,5 AVE & E 118 ST,10026.0,Manhattan,MN10,9.0,40.80197023,-73.94550864,POINT (-73.94550864 40.80197023),36486.882824783665
Q4818,ERS,JAMAICA AVE & SUTPHIN BLVD,11435.0,Queens,QN12,27.0,40.70176553,-73.80792715,POINT (-73.80792715 40.70176553),38930.615148660545
B1232,ERS,FLATBUSH AVE & PARK PL,11217.0,Brooklyn,BK08,35.0,40.67752281,-73.97271615,POINT (-73.97271615 40.67752281),31253.174777929104
Q4514,ERS,22 AVE & 126 ST,11356.0,Queens,QN07,19.0,40.78015379,-73.84239892,POINT (-73.84239892 40.78015379),39790.61566141736
B1729,ERS,GLENMORE AVE & SHEFFIELD AVE,11207.0,Brooklyn,BK05,37.0,40.67301661,-73.89716712,POINT (-73.89716712 40.67301661),28784.634183734182
Q6218,BARS,150 ST & 20 RD,11357.0,Queens,QN07,19.0,40.78058083,-73.81429898,POINT (-73.81429898 40.78058083),44160.44407904828
Q7671,BARS,ASTORIA BLVD & 81 ST,11370.0,Queens,QN03,22.0,40.76517834,-73.88806563,POINT (-73.88806563 40.76517834),32237.445961018806
X2875,ERS,NOBLE AVE & GLEASON AVE,10472.0,Bronx,BX09,18.0,40.82942885,-73.86968144,POINT (-73.86968144 40.82942885),43865.968148780266
B0482,ERS,FURMAN ST & MONTAGUE ST,11201.0,Brooklyn,BK02,33.0,40.69599978,-73.99824027,POINT (-73.99824027 40.69599978),34276.47618450145
Q2105,ERS,101 AVE & 84 ST,11416.0,Queens,QN09,32.0,40.68160698,-73.85535333,POINT (-73.85535333 40.68160698),32531.716412200563
Q9617,ERS,86 AVE & 105 ST,11418.0,Queens,QN09,32.0,40.69724833,-73.84300917,POINT (-73.84300917 40.69724833),33538.915122698294
R1016,ERS,TARGEE ST & STEUBEN ST,10304.0,Staten Island,SI01,49.0,40.61072604,-74.08634215,POINT (-74.08634215 40.61072604),63207.54606865054
B3828,ERS,DWIGHT ST & COFFEY ST,11231.0,Brooklyn,BK06,38.0,40.67422277,-74.01118011,POINT (-74.01118011 40.67422277),38035.85600926894
B1611,ERS,E NEW YORK AVE & ST MARKS AVE,11212.0,Brooklyn,BK16,41.0,40.672948,-73.90925438,POINT (-73.90925438 40.672948),28125.41140904071
X3822,ERS,SETON AVE & E 233 ST,10466.0,Bronx,BX12,12.0,40.88893566,-73.83643359,POINT (-73.83643359 40.88893566),60915.81774229001
Q1326,ERS,ROCKAWAY BEACH BLVD & BEACH 84 ST,11693.0,Queens,QN14,31.0,40.58774216,-73.80986542,POINT (-73.80986542 40.58774216),54651.226413730714
B0180,BARS,METROPOLITAN AVE & STEWART AVE,11237.0,Brooklyn,BK01,34.0,40.71420824,-73.92816525,POINT (-73.92816525 40.71420824),26588.36236286588
X3969,ERS,ONEIDA AVE & E 236 ST,10470.0,Bronx,BX12,11.0,40.89769435,-73.87269698,POINT (-73.87269698 40.89769435),58028.870764822415
Q5394,BARS,QUENCER RD & NEWBURGH ST,11412.0,Queens,QN12,27.0,40.69563063,-73.76458044,POINT (-73.76458044 40.69563063),47273.821761786734
X3837,ERS,EDENWALD AVE & WILDER AVE,10466.0,Bronx,BX12,12.0,40.89328577,-73.8419206,POINT (-73.8419206 40.89328577),61094.91981142797
Q5061,BARS,FOCH BLVD & MERRICK BLVD,11434.0,Queens,QN12,27.0,40.68701659,-73.77486249,POINT (-73.77486249 40.68701659),45553.748200302245
X2883,ERS,SEABURY AVE & HERSHELL ST,10461.0,Bronx,BX10,13.0,40.83615871,-73.84246873,POINT (-73.84246873 40.83615871),48756.84114346735
B4018,ERS,FLATLANDS AVE & FOUNTAIN AVE,11208.0,Brooklyn,BK05,42.0,40.66045225,-73.8671807,POINT (-73.8671807 40.66045225),33155.03889968506
X3667,ERS,PRATT AVE & MAROLLA PLACE,10466.0,Bronx,BX12,12.0,40.88469455,-73.83591285,POINT (-73.83591285 40.88469455),60037.616229340216
B2107,ERS,NEW LOTS AVE & HINSDALE ST,11207.0,Brooklyn,BK05,42.0,40.65983319,-73.89759944,POINT (-73.89759944 40.65983319),30267.62420454364
B1446,ERS,4 AVE & 32 ST,11232.0,Brooklyn,BK07,38.0,40.65654952,-74.00209359,POINT (-74.00209359 40.65654952),38345.69265119249
R1192,BARS,WESTERN AVE & RAILROAD CROSSING,10303.0,Staten Island,SI01,49.0,40.63448668,-74.18184158,POINT (-74.18184158 40.63448668),79583.43818662796
R1429,BARS,XENIA ST & HURLBERT ST,10305.0,Staten Island,SI02,50.0,40.59215182,-74.08446979,POINT (-74.08446979 40.59215182),66605.71255176833
R4689,ERS,PURDY PL & HOLTON AVE,10309.0,Staten Island,SI03,51.0,40.51273272,-74.19368776,POINT (-74.19368776 40.51273272),108099.32475067626
B1423,ERS,3 AVE & 29 ST,11232.0,Brooklyn,BK07,38.0,40.65954746,-74.00262349,POINT (-74.00262349 40.65954746),38047.33612370171
B2895,ERS,CROPSEY AVE & 20 AVE,11214.0,Brooklyn,BK11,43.0,40.60020309,-74.00281297,POINT (-74.00281297 40.60020309),48451.05078768941
B2934,ERS,AVE I & EAST 15 ST,11230.0,Brooklyn,BK14,44.0,40.62757082,-73.96184657,POINT (-73.96184657 40.62757082),36840.819915444896
Q7072,ERS,GRAND AVE & E/S OF NY CONN RAILROAD,11373.0,Queens,QN04,25.0,40.73049188,-73.88624327,POINT (-73.88624327 40.73049188),29096.093075900193
R3768,ERS,CODY PL & CROCKER CT,10312.0,Staten Island,SI03,51.0,40.55520322,-74.20190242,POINT (-74.20190242 40.55520322),100416.22732165376
Q0082,BARS,SHEA STADIUM 700' W OF 126 ST & 38 AVE,11368.0,Queens,,21.0,40.75623317,-73.84642544,POINT (-73.84642544 40.75623317),36160.224562030875
M0145,ERS,BROADWAY & THOMAS ST,10013.0,Manhattan,MN01,1.0,40.71575994,-74.00497613,POINT (-74.00497613 40.71575994),35629.84120551395
M1417,ERS,MORNINGSIDE AVE & W 119 ST,10026.0,Manhattan,MN10,9.0,40.80754571,-73.95680544,POINT (-73.95680544 40.80754571),38320.90184533987
M1782,ERS,AMSTERDAM AVE S OF FORT GEORGE AVE,10040.0,Manhattan,MN12,10.0,40.85501103,-73.926036,POINT (-73.926036 40.85501103),45442.40553327606
R0428,BARS,VANDERBILT AVE & BAY ST,10304.0,Staten Island,SI01,49.0,40.62246402,-74.07253552,POINT (-74.07253552 40.62246402),58095.164162449975
M0428,ERS,AVENUE B & E 4 ST,10009.0,Manhattan,MN03,2.0,40.72327798,-73.9825245,POINT (-73.9825245 40.72327798),32066.38480889515
R0229,BARS,VICTORY BLVD & BAY ST,10301.0,Staten Island,SI01,49.0,40.6377481,-74.07601777,POINT (-74.07601777 40.6377481),56051.82871010309
B0919,ERS,SCHENECTADY AVE & PARK PL,11213.0,Brooklyn,BK08,36.0,40.6725145,-73.93355357,POINT (-73.93355357 40.6725145),28134.779266453636
M1323,ERS,BROADWAY & W 108 ST,10025.0,Manhattan,MN07,6.0,40.80292725,-73.96757497,POINT (-73.96757497 40.80292725),38912.31512662612
Q4430,ERS,45 AVE & 160 ST,11358.0,Queens,QN07,20.0,40.7565452,-73.80639406,POINT (-73.80639406 40.7565452),42417.9815947896
M1798,ERS,10 AVE & W 202 ST,10034.0,Manhattan,MN12,10.0,40.86131167,-73.921232,POINT (-73.921232 40.86131167),46743.593329505726
R0563,ERS,UTTER AVE & MANOR RD,10314.0,Staten Island,SI01,50.0,40.61805942,-74.12362161,POINT (-74.12362161 40.61805942),69740.80164540489
R2413,BARS,COMBS AVE 250' N OF CLARKE AVE/RVFD,10306.0,Staten Island,SI03,50.0,40.56593022,-74.13205095,POINT (-74.13205095 40.56593022),82547.22586027344
B3013,ERS,AVENUE M & E 17 ST,11230.0,Brooklyn,BK14,44.0,40.61821719,-73.95814639,POINT (-73.95814639 40.61821719),38172.06387414582
R1983,ERS,WYONA AVE & HAWTHORNE AVE,10314.0,Staten Island,SI01,50.0,40.61022205,-74.1489379,POINT (-74.1489379 40.61022205),76819.53293294575
B0143,ERS,MANHATTAN AVE & FROST ST,11211.0,Brooklyn,BK01,34.0,40.71790704,-73.94665225,POINT (-73.94665225 40.71790704),27542.268723398443
B2992,ERS,AVE M & EAST 15 ST,11230.0,Brooklyn,BK14,48.0,40.61801126,-73.96004232,POINT (-73.96004232 40.61801126),38425.23013923595
Q9336,BARS,37 AVE & 111 ST,11368.0,Queens,QN03,21.0,40.75414368,-73.85715508,POINT (-73.85715508 40.75414368),34449.245725995235
M0089,ERS,PEARL ST & BEEKMAN ST,10038.0,Manhattan,MN01,1.0,40.70808367,-74.00340211,POINT (-74.00340211 40.70808367),35143.24091468914
B2587,ERS,11 AVE & 48 ST,11219.0,Brooklyn,BK12,44.0,40.63824637,-73.99594166,POINT (-73.99594166 40.63824637),39962.701707809174
Q1314,ERS,ROCKAWAY BEACH BLVD & BEACH 75 ST,11692.0,Queens,QN14,32.0,40.58866769,-73.80274869,POINT (-73.80274869 40.58866769),55683.31943836984
X3778,ERS,FIELDSTON RD & W 245 ST,10471.0,Bronx,BX08,11.0,40.89171407,-73.90558681,POINT (-73.90558681 40.89171407),53890.18839073918
Q4123,ERS,68 RD & 60 ST,11385.0,Queens,QN05,30.0,40.70347577,-73.89981967,POINT (-73.89981967 40.70347577),27080.018332954394
B2616,ERS,68 ST & 7 AVE E/S OF VZ BRIDGE APP,11220.0,Brooklyn,BK10,43.0,40.63178263,-74.01582528,POINT (-74.01582528 40.63178263),44886.61934601319
B1709,ERS,LIBERTY AVE & SNEDIKER AVE,11207.0,Brooklyn,BK05,37.0,40.67357377,-73.90207722,POINT (-73.90207722 40.67357377),28418.317255446855
Q7019,ERS,SW CORNER 73 ST & 57 AVE,11378.0,Queens,QN05,30.0,40.72843098,-73.88858241,POINT (-73.88858241 40.72843098),28755.241578446108
Q1422,BARS,CRONSTON AVE & BEACH 135 ST,11694.0,Queens,QN14,32.0,40.57803909,-73.85511219,POINT (-73.85511219 40.57803909),49931.91730899595
B2453,ERS,FOSTER AVE & E 21 ST,11226.0,Brooklyn,BK14,40.0,40.63679269,-73.95743328,POINT (-73.95743328 40.63679269),34694.666286656604
Q2305,ERS,N/B CI PWAY AT 150 ST,11357.0,Queens,QN07,19.0,40.78726003,-73.81286381,POINT (-73.81286381 40.78726003),45315.69091454482
Q7402,BARS,32 AVE & 51 ST,11377.0,Queens,QN01,26.0,40.75529168,-73.90846545,POINT (-73.90846545 40.75529168),29716.176557284256
X4030,ERS,BRUSH AVE & ROHR PL,10465.0,Bronx,BX10,13.0,40.82178334,-73.8378736,POINT (-73.8378736 40.82178334),46736.5860948215
R1031,BARS,ELBE AVE & SABLE AVE,10304.0,Staten Island,SI02,50.0,40.60604576,-74.08434222,POINT (-74.08434222 40.60604576),63722.78600713797
Q7171,BARS,41 AVE & 21 ST,11101.0,Queens,QN01,26.0,40.75399761,-73.94243021,POINT (-73.94243021 40.75399761),29911.348497256204
Q5256,BARS,HILLSIDE AVE & 187 ST,11423.0,Queens,QN08,24.0,40.71469631,-73.77529928,POINT (-73.77529928 40.71469631),45167.854038699545
R3814,BARS,NELSON AVE & BELDEN ST,10308.0,Staten Island,SI03,51.0,40.5474525,-74.14995202,POINT (-74.14995202 40.5474525),90550.86965935204
Q6615,BARS,CROYDEN RD & MAYFIELD RD,11432.0,Queens,QN08,24.0,40.71699938,-73.78961771,POINT (-73.78961771 40.71699938),42467.47820894086
Q4485,ERS,SANFORD AVE & 149 ST,11355.0,Queens,QN07,20.0,40.76037161,-73.81508733,POINT (-73.81508733 40.76037161),41399.66336629772
B1905,ERS,LINDEN BLVD & WILLIAMS AVE,11207.0,Brooklyn,BK05,42.0,40.65774692,-73.89610851,POINT (-73.89610851 40.65774692),30645.080744085706
Q4918,ERS,JEWEL AVE/VAN ARSDALE AVE & 136 ST,11367.0,Queens,QN08,24.0,40.72834297,-73.82954332,POINT (-73.82954332 40.72834297),36269.16371282557
B3884,ERS,BATH AVE & BAY 37 ST,11214.0,Brooklyn,BK11,47.0,40.59521085,-73.99238931,POINT (-73.99238931 40.59521085),47590.901192903846
Q7528,BARS,HOYT AVE N & 24 ST,11102.0,Queens,QN01,22.0,40.77393148,-73.92165606,POINT (-73.92165606 40.77393148),31772.84647808972
Q6806,BARS,109 AVE & 227 ST,11429.0,Queens,QN13,27.0,40.7066598,-73.72964716,POINT (-73.72964716 40.7066598),54616.193282231376
B2540,ERS,17 AVE & 46 ST,11204.0,Brooklyn,BK12,44.0,40.63123292,-73.98130754,POINT (-73.98130754 40.63123292),38789.82624725945
Q3106,ERS,QUEENS BLVD & 64 RD,11374.0,Queens,QN06,29.0,40.72915082,-73.8604723,POINT (-73.8604723 40.72915082),31924.905164520616
M1584,ERS,HAMILTON PL & W 139 ST,10031.0,Manhattan,MN09,7.0,40.8221734,-73.95210583,POINT (-73.95210583 40.8221734),40338.77645360898
R4392,ERS,AMBOY RD 75' E OF SHARROTT AVE,10309.0,Staten Island,SI03,51.0,40.52402543,-74.21401058,POINT (-74.21401058 40.52402543),110124.3333113858
Q3206,ERS,66 RD & YELLOWSTONE BLVD,11375.0,Queens,QN06,29.0,40.72915439,-73.84944778,POINT (-73.84944778 40.72915439),33420.614045978306
Q7989,BARS,43 AVE OPP 95 ST,11373.0,Queens,QN04,25.0,40.74524191,-73.869288,POINT (-73.869288 40.74524191),32036.209611779923
Q7339,ERS,78 AVE & 88 ST,11385.0,Queens,QN05,30.0,40.70589893,-73.86108261,POINT (-73.86108261 40.70589893),30965.815713219454
R0224,ERS,CEBRA AVE & VICTORY BLVD,10301.0,Staten Island,SI01,49.0,40.63395556,-74.08574929,POINT (-74.08574929 40.63395556),58711.642780766364
Q5755,ERS,131 AVE & 218 ST,11413.0,Queens,QN13,31.0,40.6831333,-73.74935675,POINT (-73.74935675 40.6831333),51006.62962942128
M1014,ERS,MADISON AVE & E 69 ST,10021.0,Manhattan,MN08,4.0,40.76984667,-73.9668471,POINT (-73.9668471 40.76984667),34233.57705012984
X2609,ERS,BRUCKNER BLVD N/B & THERIOT AVE,10473.0,Bronx,BX09,18.0,40.82510524,-73.86295905,POINT (-73.86295905 40.82510524),43890.336642478986
Q6451,BARS,60 AVE & HEWLETT ST,11362.0,Queens,QN11,23.0,40.7614709,-73.71691484,POINT (-73.71691484 40.7614709),61245.69657801471
R3695,BARS,RICHMOND AVE & ARTHUR KILL RD,10312.0,Staten Island,SI03,51.0,40.561078,-74.16982656,POINT (-74.16982656 40.561078),91913.03548473064
M1378,ERS,LEXINGTON AVE & E 115 ST,10029.0,Manhattan,MN11,8.0,40.7979438,-73.94212011,POINT (-73.94212011 40.7979438),35676.58791555882
B2023,ERS,GLENMORE AVE & WYONA ST,11207.0,Brooklyn,BK05,37.0,40.67358165,-73.89335128,POINT (-73.89335128 40.67358165),29005.617719155875
M0482,ERS,STUYVESANT TWN SVC RD 1 AVE & E 16 ST,10009.0,Manhattan,MN06,2.0,40.73264377,-73.981562,POINT (-73.981562 40.73264377),32502.664744273967
B2379,ERS,PRESTON CT BTW E 56 ST & RALPH AVE,11234.0,Brooklyn,BK18,45.0,40.63999206,-73.92149332,POINT (-73.92149332 40.63999206),32292.996718846298
R1583,ERS,SLOSSON AVE & MOTLEY AVE,10314.0,Staten Island,SI02,50.0,40.60801798,-74.11606167,POINT (-74.11606167 40.60801798),70075.56193372447
B2816,ERS,16 AVE & 77 ST,11214.0,Brooklyn,BK11,43.0,40.61515271,-74.00203158,POINT (-74.00203158 40.61515271),45318.31214074928
